alpha_id,expression,universe,delay,decay,truncation,neutralization,sharpe,fitness,turnover,returns,drawdown,checks_passed,checks_total,status
O0nRxM2v,"rank(multiply(-1, ts_corr(close, volume, 10)))",TOP3000,0,4,0.015,SUBINDUSTRY,0.91,0.35,0.3076,0,0,4,8,FAILED_LOW_SHARPE
mLqd5MX5,"multiply(-1, rank(multiply(-1, ts_corr(vwap, volume, 20))))",TOP3000,0,5,0.01,SUBINDUSTRY,-1.14,-0.64,0.1806,0,0,5,8,FAILED_LOW_SHARPE
j2no6ZgW,"multiply(-1, rank(multiply(-1, ts_corr(close, volume, 20))))",TOP3000,0,3,0.01,SUBINDUSTRY,-1.0,-0.5,0.2062,0,0,5,8,FAILED_LOW_SHARPE
le7E2rg5,"rank(multiply(-1, ts_corr(close, volume, 30)))",TOP1000,0,4,0.01,SUBINDUSTRY,0.5,0.22,0.152,0,0,5,8,FAILED_LOW_SHARPE
QPnO7kkM,"rank(multiply(-1, ts_corr(cap, volume, 20)))",TOP3000,0,4,0.01,SECTOR,1.01,0.6,0.182,0,0,5,8,FAILED_LOW_SHARPE
LLnE7pYa,"rank(multiply(-1, ts_corr(close, volume, 10)))",TOP1000,0,4,0.01,SUBINDUSTRY,0.26,0.06,0.3163,0,0,4,8,FAILED_LOW_SHARPE
XgkV7enx,"rank(multiply(-1, ts_covariance(close, volume, 20)))",TOP3000,0,5,0.01,SUBINDUSTRY,0.84,0.43,0.1707,0,0,5,8,FAILED_LOW_SHARPE
npnmKbkd,"rank(multiply(-1, ts_corr(close, volume, 30)))",TOP500,0,1,0.01,SUBINDUSTRY,0.63,0.28,0.2067,0,0,5,8,FAILED_LOW_SHARPE
GrnXdGkG,"rank(ts_mean(close, 60))",TOP500,0,3,0.015,SUBINDUSTRY,0.02,0.0,0.0185,0,0,4,8,FAILED_LOW_SHARPE
e7nN9ZbM,"rank(multiply(-1, ts_corr(cap, volume, 30)))",TOP3000,0,4,0.01,SECTOR,0.98,0.68,0.1339,0,0,5,8,FAILED_LOW_SHARPE
QPnO7kkM,"rank(multiply(-1, ts_corr(cap, volume, 20)))",TOP3000,0,4,0.01,SECTOR,1.01,0.6,0.182,0,0,5,8,FAILED_LOW_SHARPE
blNJbbJN,"winsorize(multiply(-1, ts_corr(cap, volume, 20)), std=4)",TOP500,0,4,0.01,INDUSTRY,0.34,0.13,0.1984,0,0,4,8,FAILED_LOW_SHARPE
GrnXbZpP,"normalize(multiply(-1, ts_corr(close, volume, 20)))",TOP3000,0,4,0.01,SUBINDUSTRY,1.01,0.53,0.1976,0,0,4,8,FAILED_LOW_SHARPE
pwnx5EEx,"rank(multiply(-1, ts_corr(close, volume, 30)))",TOP3000,0,4,0.01,INDUSTRY,0.97,0.62,0.1368,0,0,5,8,FAILED_LOW_SHARPE
omnRYGdb,"rank(multiply(-1, ts_covariance(close, volume, 20)))",TOP3000,0,4,0.01,SUBINDUSTRY,0.84,0.42,0.1805,0,0,5,8,FAILED_LOW_SHARPE
mLqdYwA2,"rank(multiply(-1, ts_covariance(returns, volume, 20)))",TOP3000,0,4,0.01,SECTOR,0.05,0.01,0.1397,0,0,5,8,FAILED_LOW_SHARPE
1YoOjalR,"rank(multiply(-1, ts_corr(close, cap, 10)))",TOP3000,0,4,0.01,SUBINDUSTRY,-0.7,-0.25,0.2395,0,0,4,8,FAILED_LOW_SHARPE
6XRZA0VG,"rank(multiply(-1, ts_corr(close, volume, 30)))",TOP3000,0,4,0.01,SUBINDUSTRY,0.98,0.58,0.1425,0,0,5,8,FAILED_LOW_SHARPE
XgkVYPGl,"rank(multiply(-1, ts_corr(close, low, 20)))",TOP3000,0,4,0.01,SUBINDUSTRY,-0.49,-0.18,0.1766,0,0,4,8,FAILED_LOW_SHARPE
d5nYW0wj,"quantile(multiply(-1, ts_corr(close, volume, 20)), driver=""gaussian"")",TOP3000,0,4,0.01,SUBINDUSTRY,1.0,0.53,0.2029,0,0,4,8,FAILED_LOW_SHARPE
mLqdoNxE,"rank(multiply(-1, ts_corr(low, volume, 20)))",TOP3000,0,4,0.01,SECTOR,1.01,0.58,0.186,0,0,4,8,FAILED_LOW_SHARPE
A1nexYbX,"winsorize(ts_covariance(cap, volume, 20), std=4)",TOP1000,0,3,0.015,SUBINDUSTRY,0.21,0.08,0.1902,0,0,4,8,FAILED_LOW_SHARPE
